Track Name,Artist,Streams,URL,Number of Appearnaces in the Top 200
Higher Love,Kygo,5553807,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,25
Goodbyes (Feat. Young Thug),Post Malone,8884583,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,25
IDGAF,Dua Lipa,4421926,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,25
I Don't Care (with Justin Bieber),Ed Sheeran,11441370,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,24
no tears left to cry,Ariana Grande,4469013,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,24
a lot,21 Savage,4559627,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,24
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,9070947,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,24
bellyache,Billie Eilish,4418603,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams,24
Beautiful People (feat. Khalid),Ed Sheeran,11743406,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,24
Que Mas Pues - Remix,Sech,4541592,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD,24
Pa Mí - Remix,Dalex,4352452,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz,24
Dance Monkey,Tones And I,47797217,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,23
Natural,Imagine Dragons,4518932,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,23
China,Anuel AA,12902216,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,23
One Thing Right,Marshmello,4714930,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4,23
How Do You Sleep?,Sam Smith,9865958,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,23
Pop Out (feat. Lil Tjay),Polo G,4431920,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1,23
Mo Bamba,Sheck Wes,4443931,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,22
Old Town Road - Remix,Lil Nas X,9299124,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,22
Otro Trago - Remix,Sech,5659515,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,22
Bruises,Lewis Capaldi,5584568,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,22
Taste (feat. Offset),Tyga,5451367,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,22
Tal Vez,Paulo Londra,4315029,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI,22
Si Se Da,Myke Towers,4242584,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ,22
Pure Water (with Migos),Mustard,6164287,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,22
all the good girls go to hell,Billie Eilish,4926395,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx,22
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,6718666,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,22
Señorita,Shawn Mendes,20975710,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,22
comethru,Jeremy Zucker,4680589,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,21
If I Can't Have You,Shawn Mendes,5498298,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh,21
Wake Up in the Sky,Gucci Mane,4493495,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,21
you should see me in a crown,Billie Eilish,4306393,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d,21
It's You,Ali Gatie,10777178,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq,21
Dancin (feat. Luvli) - Krono Remix,Aaron Smith,4463685,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM,21
changes,XXXTENTACION,4630908,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO,21
Cuaderno,Dalex,4451498,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6,21
FRIENDS,Marshmello,4430014,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,20
Soltera - Remix,Lunay,8552773,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL,20
HP,Maluma,4600384,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3,20
Tutu,Camilo,6872649,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ,20
Thinking out Loud,Ed Sheeran,4338364,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,20
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,4445326,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,20
I'm Yours,Jason Mraz,4440453,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW,20
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,4767233,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e,20
On My Way,Alan Walker,5200420,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq,20
Kill This Love,BLACKPINK,4360357,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn,20
Adan y Eva,Paulo Londra,6654308,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,20
Robbery,Juice WRLD,8402203,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,20
Hate Me (with Juice WRLD),Ellie Goulding,7460682,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,20
Old Town Road,Lil Nas X,5151270,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH,19
Say My Name,David Guetta,4488528,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,19
SOS (feat. Aloe Blacc),Avicii,4431865,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5,19
Love Someone,Lukas Graham,4460911,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,19
This Feeling,The Chainsmokers,4336282,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,19
